processed_text,comments_count
осень хороший время горячее чай любимый произведение проект книга метро московский метрополитен вместе приложение свет российский государственный библиотека подготовить подборка хороший книга мировой классика коллекция войти произведение разный автор отечественный зарубежный получить доступ книга нужно отсканировать код любой стойка живой общение также мочь воспользоваться бесплатный проект книга метро станция метро рассказовка колонна платформа отсканировать код понравиться произведение,0.0
достигнуть хороший значение стабильность интернет метро средний непрерывность подключение сеть метрополитен превысить такой показатель удаться достигнуть благодаря эффективный взаимодействие крупный оператор связь мтс мегафон билайн пассажир мочь задержка пауза общаться аудио видеосвязь загружать тяжёлый файл смотреть фильм сериал транспорт,8.0
концерт артист проект музыка метро пройти московский международный дом музыка ноябрь зал имя шнитке выступить алиса димитриади детский рок группа коллектив брасс бэнд делиться атмосфера вечер концерт стать часть всероссийский акция ночь искусство продолжение сотрудничество московский транспорт дом музыка,0.0
строить маршрут стать удобный добавить описание пиктограмма лифт станция метро обновить информация находиться светящийся указатель стикер дверь лифтовый тамбур подсказывать путь платформа станция выход пересадка переход другой платформа станция путь расположить центр это нужно современный станция лифт весь путь следование пассажир описание пиктограмма помогать пассажир выбрать нужный,20.0
пара заключить брак станция метро маяковский московский метрополитен продолжать объединять сердце ночь ноябрь сотрудник столичный загс провести церемония бракосочетание свод исторический станция юбилейный свадебный сезон маяковский заветный сказать пара напоминать провести церемония станция метро маяковский нужно лично подать заявление дворец бракосочетание,105.0
метро москва санкт петербург связывать долгий общий история также совместный работа модернизация подвижный состав например вагон тип номерной который постепенно уходить прошлое курсировать год москва год санкт петербург метро северный столица встретить поезд юбилейный создать основа московский вагон серия яуза большинство состав окрасить цвет линия который курсировать красный зелёный последний год коллега санкт петербург завершить обновление подвижный состав линия полностью укомплектовать новый балтиец старый линия развитие поезд оба город наглядно показать карточка,39.0
питомец москва открывать метро новый выставка формат комикс герой стать забавный персонаж это собака который нарисовать финалист конкурс создание талисман одноимённый проект интерактивный форма пассажир узнавать правильно выгуливать домашний животное почему важный дрессировка какой принцип ответственный содержание питомец город найти новый оснастить площадка выгул выставка питомец москва открыть вместе программа район разместить экспозиция переход станция новаторский большой кольцевой троицкий линия посетить экспозиция декабрь включительно ждать,0.0
вулкан камчатка космодром восточный арбатско покровский линия метро выйти тематический поезд дальневосточный экспресс вагон поезд это путешествие который знакомить уникальный природа экономический потенциал культурный многообразие дальневосточный регион внутри состав пассажир смочь увидеть вулкан камчатка космодром восточный открыть уникальный природа культура регион дальневосточный федеральный округ узнать возможность работа учёба бизнес познакомиться классический рецепт дальневосточный кухня проект реализоваться рамка фестиваль день регион дальний восток москва,3.0
технология который стоить место чат бот александр база знание виртуальный помощник подключить искусственный интеллект конец год преимущество глубокий понимание нейросеть позволять александр понимать смысл вопрос сформулировать нестандартно поддержка диалог искусственный интеллект запоминать контекст вопрос пользователь анализировать предыдущий запрос это позволять поддерживать беседа давать точный ответ постоянный развитие активный москвич пользоваться сервис данные обрабатывать нейросеть помощник становиться умный полезный каждый следующий пользователь,1.0
мотовоз работать метро ночью ваш комфорт день этот надёжный спецтехник столичный электродепо помогать выполнить ключевой задача среди который технический работа буксировка вагон транспортировка груз ремонтный техника кстати двигатель внутренний сгорание позволять мотовоз зависеть напряжение контактный рельс,17.0
