processed_text_stemmed,comments_count
осен лучш врем горяч ча любим произведен проект книг метр московск метрополит вмест приложен свет российск государствен библиотек подготов подборк лучш книг миров классик коллекц вошл произведен разн автор отечествен зарубежн получ доступ книг нужн отсканирова код люб стоек жив общен такж может воспользова бесплатн проект книг метр станц метр рассказовк колон платформ отсканир код понрав произведен,0.0
достигл лучш значен стабильн интернет метр средн непрерывн подключен сет метрополитен превыс так показател уда достич благодар эффективн взаимодейств крупн оператор связ мтс мегафон билайн пассажир могут задержек пауз обща ауд видеосвяз загружа тяжел файл смотрет фильм сериал транспорт,8.0
концерт артист проект музык метр прошел московск международн дом музык ноябр зал имен шнитк выступ алис димитриад детск рок групп коллект брасс бэнд дел атмосфер вечер концерт стал част всероссийск акц ноч искусств продолжен сотрудничеств московск транспорт дом музык,0.0
стро маршрут стал удобн добав описан пиктограмм лифт станц метр обновлен информац наход светя указател стикер двер лифтов тамбур подсказыва пут платформ станц выход пересадк переход друг платформ станц пут располож центр эт нужн современ станц лифт всем пут следован пассажир описан пиктограмм помога пассажир выбра нужн,20.0
пар заключ брак станц метр маяковск московск метрополит продолжа объединя сердц ноч ноябр сотрудник столичн загс провел церемон бракосочетан свод историческ станц юбилейн свадебн сезон маяковск заветн сказа пар напомина провест церемон станц метр маяковск нужн личн пода заявлен дворц бракосочетан,105.0
метр москв санкт петербург связыва долг общ истор такж совместн работ модернизац подвижн состав например вагон тип номерн котор постепен уход прошл курсир год москв год санкт петербург метр северн столиц встрет поезд юбилейн созда основ московск вагон сер яуз большинств состав окрас цвет лин котор курсир красн зелен последн год коллег санкт петербург заверш обновлен подвижн состав лин полност укомплектова нов балтийц стар лин развит поезд обо город наглядн показа карточк,39.0
питомц москв открыва метр нов выставк формат комикс геро стал забавн персонаж эт собак котор нарисова финалист конкурс создан талисман одноимен проект интерактивн форм пассажир узна правильн выгулива домашн животн поч важн дрессировк как принцип ответствен содержан питомц город найт нов оснащен площадк выгул выставк питомц москв откр вмест программ район размест экспозиц переход станц новаторск больш кольцев троицк лин посет экспозиц декабр включительн ждем,0.0
вулкан камчатк космодром восточн арбатск покровск лин метр вышел тематическ поезд дальневосточн экспресс вагон поезд эт путешеств котор знаком уникальн природ экономическ потенциал культурн многообраз дальневосточн регион внутр состав пассажир смогут увидет вулка камчатк космодр восточн откр уникальн природ культур регион дальневосточн федеральн округ узна возможн работ учеб бизнес познаком классическ рецепт дальневосточн кухн проект реализ рамк фестивал дни регион дальн восток москв,3.0
технолог котор сто мест чат бот александр баз знан виртуальн помощник подключат искусствен интеллект конц год преимуществ глубок пониман нейросет позволя александр понима смысл вопрос сформулирова нестандартн поддержк диалог искусствен интеллект запомина контекст вопрос пользовател анализир предыдущ запрос эт позволя поддержива бесед дава точн ответ постоя развит активн москвич польз сервис дан обрабатыва нейросет помощник станов умн полезн кажд след пользовател,1.0
мотовоз работа метр ноч ваш комфорт днем эт надежн спецтехник столичн электродеп помога выполн ключев задач сред котор техническ работ буксировк вагон транспортировк груз ремонтн техник кстат двигател внутрен сгоран позволя мотовоз зависет напряжен контактн рельс,17.0
нов гост наш совместн москв проект звезд метр певиц юл савичев рассказа прошл детств станц метр артистк вперв влюб,8.0
