text,comments_count
А какой поезд выбрали бы вы?,65
"🎁 Приходите за новогодним настроением и получите детский подарок от Деда Мороза!

В аванзале станции «Курская» открылась зона Деда Мороза, где каждый ребенок сможет получить сказочный подарок.

Зона будет работать ежедневно с 10:00 до 18:00 до 3 января включительно. Перерыв с 14:00 до 14:30.

Количество подарков ограничено. Ждем вас!",3
"Встречайте самые современные способы оплаты проезда на новых станциях Троицкой линии: «Корниловская», «Коммунарка», «Новомосковская». 

Здесь работают:

🔹 41 турникет для входа и выхода
🔹 28 автоматов и терминалов по продаже билетов
🔹 2 турникета в каждом вестибюле для оплаты проезда, в том числе по биометрии",2
"🚄 В новогоднюю ночь продлили движение поездов МЦД до 03:00.

В карточках показали время отправления последних поездов. 

Планируйте свои поездки и отправляйтесь за новогодним чудом!",1
"В метро открылись две новые подземные пересадки: между «Авиамоторной» БКЛ и Калининской линии и между «Электрозаводской» БКЛ и Арбатско-Покровской линии
 
[https://vk.com/wall265870743_1347608|Как рассказал Мэр Москвы Сергей Собянин], благодаря переходу на «Авиамоторной» путь до станции Большой кольцевой и в обратном направлении сократился почти в четыре раза.",12
"🚆 Подводим итоги 2024 года на МЦД.

Всё больше жителей Москвы и Подмосковья доверяют диаметрам. Это стало возможным в том числе благодаря созданию и интеграции новой инфраструктуры и подвижного состава в транспортную систему столицы.

В уходящем году мы:

🔹 Завершили формирование московских городских вокзалов Зеленоград-Крюково D3, Лианозово D1, Белорусская D1/D4, Кутузовская D4.
🔹 Открыли новый московский городской вокзал Митьково D3.
🔹 Между МЦК и МЦД-4 на городском вокзале Москва-Сити открыли новый вестибюль и создали удобную и быструю пересадку.
🔹 Запустили новый флагманский поезд «Иволга 4.0» на D3 и D4.
🔹 Полностью обновили подвижной состав на МЦД-3 на маршруте Зеленоград-Крюково — Ипподром.

За 2024 год на МЦД совершили более 400 млн поездок. Рекордное количество поездок на всех диаметрах за 1 день достигло почти 1,5 млн. Это говорит о востребованности и подтверждает удобство использования МЦД. 

Лидерами среди всех станций по количеству пассажиров стали: 

🔹 Выхино
🔹 Железнодорожная
🔹 Зеленоград-Крюково

Впереди еще больше ярких событий и комфортных поездок с МЦД. До встречи в 2025 году! ❤",22
"Стойки «Живое общение» в московском метро работают уже 10 лет
 
[https://vk.com/wall265870743_1347392|Как рассказал Мэр Москвы Сергей Собянин], сотрудники сервиса каждый день помогают пассажирам построить удобный маршрут, отвечают на разные вопросы — по навигации, достопримечательностям, правилам провоза багажа.",3
"🚆 10 новых поездов «Иволга 4.0» скоро начнут перевозить пассажиров на D3 и D4!

Чем заняться в «Иволге 4.0» в пути: 

🔹 расслабиться в комфортабельном кресле
🔹 посмотреть фильм, заряжая гаджет в вагоне 
🔹 согреться после морозной прогулки благодаря системе климат-контроля",42
"🚉 Второй участок Троицкой линии метро открыт для пассажиров! 

А это значит, что маршруты с новыми станциями «Корниловская», «Коммунарка» и «Новомосковская» уже доступны в приложениях:

🔹 «Метро Москвы»
🔹 «Московский транспорт»
🔹 Яндекс Карты
🔹 Яндекс Метро
🔹 2ГИС",0
"🚆 Еще одна «Иволга 4.0» вышла на D4! 

Сегодня перевозчик ЦППК выпустил в рейс «Иволгу 4.0», которая стала уже 4-м таким составом на D4.

Чем примечательна новинка уходящего года:

🔹 Это первый трехдверный городской электропоезд российского производства. 
🔹 В 11-вагонной компоновке он вмещает более 2,5 тыс. пассажиров одновременно.",12
"Ситуация: праздники приближаются, а подарки все еще не найдены.
Мы нашли все за вас. Смотрим и выбираем (shop.mosmetro.ru) 💙",1
"Большое событие под конец этого года: открываем полноценное движение по Троицкой линии метро ☺️

[https://vk.com/wall265870743_1347141|Как рассказал Мэр Москвы Сергей Собянин], мы запускали линию в два этапа. Четыре станции начали работу в сентябре, а сегодня открыли второй участок — станции «Корниловская», «Коммунарка» и «Новомосковская». Семь станций, которые улучшат транспортную доступность для порядка 900 тысяч москвичей.",18
"😘 Мы украсили вестибюль станции «Кожуховская» Люблинско-Дмитровской линии.

На фасаде здания установили крупное название станции и светодиодную подсветку.

Это сделали для обеспечения дополнительного освещения вестибюля и еще более удобного ориентирования пассажиров. 

Подсветку разместили под крышей по периметру фасада, также добавили элементы в виде логотипа Московского транспорта. Ранее мы уже украшали в подобном стиле и другие транспортные объекты — вестибюли станций «Кунцевская», Кутузовская МЦД-4 и московские городские вокзалы.",8
"✨ Танцы, акробатика, драматургия: сегодня ночью солисты Цирка дю Солей и именитые воздушные гимнасты парили под сводом временно закрытой станции «Деловой центр».

Театрально-цирковое шоу «Антигравитация» прошло в рамках проекта «Ночь в метро». Мы использовали инновационные технологии, чтобы обеспечить эффект присутствия для гостей:

🔹 Цифровые медиаэкраны и цирковое оборудование. Все вместе весит 14 тонн — у специалистов ушло 5 дней на установку.
🔹 Объемная графика. Сделали уникальную графику для мультимедийных декораций.",8
"🏆 Машинист электропоезда Московского метрополитена Мария Шульман стала победителем капитал-шоу «Поле Чудес» на Первом канале и выиграла а-а-автомобиль! 

Мария управляет современными поездами «Москва» на Филевской линии. А еще она многодетная мама, воспитывает шестерых детей. 

В программе Мария соревновалась с представителями различных профессий — людьми, которые работают в новогоднюю ночь. 

Поздравляем Марию с победой!",32
Наряды для поездок в Московском метро в новогодние каникулы — найдены.,22
"Продолжаем создавать новогоднее настроение! Мы украсили:

🔹 Станции метро «Краснопресненская» и «Маяковская». Установили праздничные елки в виде надписей «С Новым годом» и «2025».
🔹 Административное здание на станции метро «Проспект Мира». Разместили большие сверкающие снежинки и еловые декорации с гирляндами.
🔹 Электродепо «Варшавское». Установили на фасаде большую светящуюся надпись «2025» и еловые декорации.",0
"Отважные, храбрые, смелые. Мы открыли новую выставку, приуроченную ко Дню спасателя Российской Федерации.

В экспозиции представили фотографии сотрудников службы и их детей. Все они одеты в специальную экипировку.

✨ Каждая фотография – это история о том, как слаженная работа специалистов на благо безопасности горожан вдохновляет детей продолжать благородное дело своих родителей, родных и близких, создавая династии.

Выставка находится в переходе между станциями «Савеловская» БКЛ и Серпуховско-Тимирязевской линии. Успейте посетить ее до 10 января!",0
"🚇 Буквы «М» готовы к встрече Нового года. 

Мы преобразили главный символ метро к зимнему празднику. Где вы найдете украшенные буквы «М»: 

🔹 У входа перед 19 станциями метро, а также внутри двух вестибюлей появилась светящаяся буква «М» в красной мишуре. Их высота — 2 и 3 м. Больше всего букв у станций БКЛ. 
🔹 Вокруг букв «М» над входом в метро мы разместили неоновые символы праздника: звезды, елочные шары, елки и леденцы. 
🔹 Большой новогодний шар с символом метро мы смонтировали у входа №1 станции метро «Кропоткинская».",3
"Не только спасают жизни, но и дарят улыбки — музыканты МЧС России выступили с праздничным концертом в метро ☺️
  
Торжественное мероприятие посвятили празднованию Дня спасателя. Духовой состав Показательного оркестра МЧС России исполнил классические, маршевые и современные произведения отечественных композиторов, а также песни о подвигах сотрудников ведомства. 
  
Какие мелодии можно было услышать сегодня в аванзале станции «Курская»:    
  
🔹 марш «Старые друзья»   
🔹 вальс «В городском саду»   
🔹 инструментовку «Фантазии на песни группы Кино»   
  
Оркестр МЧС России регулярно радует пассажиров выступлениями в транспорте. Каждый раз перед государственными и профессиональными праздниками музыканты подбирают разные произведения, которые зависят от тематики события.",1
Закончим день на прекрасной ноте — фото от нашего подписчика 😘,14
"Встречайте! Главный Дед Мороз России приехал из Великого Устюга Вологодской области, чтобы поздравить пассажиров метро. 
 
👉 Волшебник начал свой путь от «вестибюля с подарками» на станции «Семеновская» и проехал 15 станций. Вместо волшебных саней он передвигался на новогоднем составе «Москва-2020» на БКЛ. 

✨ Финальной точкой пути стала фотозона Деда Мороза, которую мы установили в переходе между станциями «Мичуринский проспект» Солнцевской линии и БКЛ. 
 
Дед Мороз сфотографировался со всеми желающими, подарил новогоднее настроение и положительные эмоции, а также раздал 1 тыс. сувениров с символом своего родного региона — Вологодской области.",8
"Хвостатых помощников стало больше 🐕

В 2024 году в московском метро прошли обучение более 50 собак-проводников, а с 2014 года — уже более 400. 

Они выполняют важную миссию: помогают незрячим и слабовидящим хозяевам. Для работы в городском транспорте их готовят специалисты Российской школы подготовки собак-проводников ВОС при сопровождении инспекторов ЦОМП.

Кстати, в честь завершения обучения мы выпустили настенные календари с собаками-проводниками.

Купить настенные календари можно в интернет-магазине, на стойках «Живое общение», во флагманских магазина на станциях «Трубная» и «Маяковская», а также на маркетплейсах: 

🔹 Яндекс.Маркет (clck.ru/3FSoLw)
🔹 OZON (clck.ru/3FSoMQ)
🔹 Wildberries (clck.ru/3FSoNK)",2
"Заставка на смартфоне — отражение настроения. У нас оно новогоднее 🎄

Какая стоит у вас? Кидайте скриншот экрана своего гаджета в комментарии.",33
"✨ Наши новогодние поезда продолжают выходить на линии! В метро вы можете увидеть новый тематический поезд, который мы сделали совместно с Комплексом социального развития Москвы. 

Каждый вагон посвятили определенному направлению работы и проектам Комплекса: образованию, медицине, ЗАГСу, ветеринарии и социальной защите москвичей. 

Снаружи поезд украшают праздничные и тематические иллюстрации. А внутри вы сможете прочитать пожелания на 2025 год 😘

Поезд будет курсировать на Арбатско-Покровской линии до 20 февраля.",1
"🎄 Поздравьте близких с Новым годом на стойках «Живое общение» в московском метро! 

Вы сможете отправить письмо или открытку: 

🔹 Близкому человеку в любой регион России.
🔹 Деду Морозу в Великий Устюг.
🔹 Столичному Деду Морозу в Московскую усадьбу.",4
"🚇 Новый рекорд: почти 8,5 миллионов поездок совершили пассажиры в метро 20 декабря.

Самыми популярными станциями стали: 

🔹 «Охотный Ряд» Сокольнической линии
🔹 «Щелковская» Арбатско-Покровской линии
🔹 «Комсомольская» Кольцевой линии
🔹 «ВДНХ» и «Китай-город» Калужско-Рижской линии 
🔹 «Новогиреево» Калининской линии

Метро помогает избежать заторов и без опозданий добраться до нужной точки. Все больше людей предпочитают его личному транспорту для передвижения по Москве.",2
"🎅🏼 Сегодня 100 Дедов Морозов совершили большое путешествие по Московскому транспорту.

Как и в прошлом году, флешмоб начался с зажигательных танцев под новогодние мелодии, которые исполнил оркестр Дедов Морозов на транспортном узле «Нижегородская». Затем добрые волшебники побывали на:

🔹 Сокольнической линии
🔹 Кольцевой линии
🔹 Серпуховско-Тимирязевской линии
🔹 БКЛ 
🔹 МЦК 
🔹 Впервые на МЦД-3

А еще Деды Морозы подарили пассажирам 5 тыс. брендированных леденцов со вкусом клубники и сливок.",3
"🎅🏼 Представьте, что вы заходите в метро, и вас поздравляет Московский Дед Мороз. Для пассажиров Кольцевой линии метро эта сказка стала явью.

Сегодня Дед Мороз на своем праздничном маршруте:
  
🔹 оплатил проезд по биометрии на станции «Комсомольская» Кольцевой линии  
🔹 проехал круг по часовой стрелке
🔹 подарил новогоднее настроение маленьким и взрослым пассажирам 
🔹 раздал более 700 сувениров: елочные игрушки, магниты, значки, браслеты и конфеты
 
Для поездки в метро дизайнеры Московской усадьбы Деда Мороза подобрали классический наряд, который был украшен яркими узорами и традиционными зимними мотивами. В нем волшебника можно увидеть в резиденции вблизи станции метро «Кузьминки».",3
"😉 Завершилась проходка всех тоннелей между будущими станциями «Звенигородская» и «Бульвар Генерала Карбышева» Рублёво-Архангельской линии метро
 
[https://vk.com/wall265870743_1345946|Как рассказал Мэр Москвы Сергей Собянин], щит «Виктория» финишировал в демонтажной камере, проложив правый перегонный тоннель между «Народным Ополчением» и «Бульваром Генерала Карбышева». Он прошёл свыше километра под землëй в сложных гидрогеологических условиях. Работы велись с мая 2024 года.",15
"🚇 История в пути: в метро начал ходить тематический поезд, посвященный императорам России, достижениям и развитию страны.

Мы запустили необычный состав вместе с Российским военно-историческим обществом.

❤️ Пассажиры Арбатско-Покровской линии смогут больше узнать об истории России и о выдающихся государственных деятелях, среди которых Александр Невский, Иван Грозный, Екатерина II.

Поезд будет ходить в течение 6 месяцев.",16
"📸 Готовьтесь делать новые праздничные фотографии! Мы украсили еще 2 станции метро:

🔹 «Семёновская». Здесь вы найдете впечатляющие инсталляции в виде огромных подарочных коробок с яркими бантами. 
🔹 «Краснопресненская». Ее мы украсили гирляндами, которые создают особую атмосферу волшебства. Вечером их мерцающий свет дарит пассажирам уют и тепло.",20
